Classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
LogisticRegression,0.9639178215454465,0.0005977548902917385,0.9752002889520586,0.0009358937146252525,0.8965765431867123,0.0024626166720949885,0.9342345288350824,0.0011770488142828536
RandomForest,0.9998065901258464,9.485314982031819e-05,0.9995607831440261,0.0001777394621320576,0.9997627443545131,0.00032477635295984086,0.9996617125289742,0.00016596221376312135
KNearest,0.9981261884387637,0.0001510006230781173,0.993617270040749,0.0005934166442254396,0.9998681898066784,0.0002636203866432485,0.996732785641046,0.00026234238729980246
Support Vector Classifier,0.9824173145325423,0.0007756040516873313,0.9882096472137096,0.0007235753279841968,0.949825969544149,0.0033999718897764057,0.9686332849253605,0.001449392388467266
DecisionTreeClassifier,0.997535912288377,0.0001646005280900792,0.9942267258689851,0.0004372440293709057,0.9971705648571474,0.0005651670402539854,0.9956962964949352,0.0002879318299133561
