Classifier,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
LogisticRegression,0.9991959464452309,5.596253846068643e-05,0.8764948212542109,0.031564816951971025,0.6239332096474953,0.03967092436431026,0.7277155026997117,0.024917906459171295
RandomForest,0.9995575952419701,3.5805291622271436e-05,0.954215000682472,0.019401609558542993,0.7825396825396826,0.036427549987416874,0.8589680852942336,0.01515572000768953
KNearest,0.9994557719882433,5.2077011969975476e-05,0.9426830961541155,0.020160519714722137,0.7297258297258297,0.0256818518491823,0.8223093173797811,0.01798662657038704
Support Vector Classifier,0.9993855486252796,6.182228372743839e-05,0.9406914420714371,0.02023406330205387,0.6889507318078747,0.05133261961002307,0.7937112083164268,0.028973966299407742
DecisionTreeClassifier,0.9991819018712633,9.329638298785536e-05,0.7575572557255725,0.03783158202304753,0.7784992784992786,0.03567240042777956,0.7668424964047297,0.024285429630912153
