classifier,strategy,n_bins,f1,precision,recall
RandomForestClassifier,kmeans,20,0.8700564971751412,0.9746835443037974,0.7857142857142857
KNeighborsClassifier,kmeans,20,0.8426966292134831,0.9375,0.7653061224489796
SVC,kmeans,20,0.8210526315789474,0.8478260869565217,0.7959183673469388
DecisionTreeClassifier,kmeans,20,0.7446808510638298,0.7777777777777778,0.7142857142857143
LogisticRegression,kmeans,30,0.7745664739884393,0.8933333333333333,0.6836734693877551
RandomForestClassifier,kmeans,30,0.8522727272727273,0.9615384615384616,0.7653061224489796
KNeighborsClassifier,kmeans,30,0.8571428571428571,0.9285714285714286,0.7959183673469388
SVC,kmeans,30,0.8125,0.8297872340425532,0.7959183673469388
DecisionTreeClassifier,kmeans,30,0.7549019607843137,0.7264150943396226,0.7857142857142857
LogisticRegression,kmeans,50,0.7602339181286549,0.8904109589041096,0.6632653061224489
RandomForestClassifier,kmeans,50,0.8636363636363636,0.9743589743589743,0.7755102040816326
KNeighborsClassifier,kmeans,50,0.8275862068965517,0.9473684210526315,0.7346938775510204
SVC,kmeans,50,0.8253968253968254,0.8571428571428571,0.7959183673469388
DecisionTreeClassifier,kmeans,50,0.7623762376237624,0.7403846153846154,0.7857142857142857
