Classifier,C,Best Accuracy,Best Precision,Best Recall,Best F1,max_depth,n_estimators,n_neighbors
LogisticRegression,10.0,0.9639994348419914,0.9751644432322649,0.8969194442919115,0.9344057700688058,,,
RandomForest,,0.9997488186627734,0.9994949133102026,0.9996265993081105,0.9995607406414774,,250.0,
KNearest,,0.9976608737970768,0.9920241979186504,0.9998572291472186,0.9959252366790627,,,5.0
Support Vector Classifier,100000.0,0.9991836606540133,0.9974906465327656,0.9996595464279832,0.9985738745037566,,,
DecisionTreeClassifier,,0.9968539537512363,0.9924647188511679,0.9965625171599581,0.9945092627569883,,,
