Classifier,C,Best Accuracy,Best Precision,Best Recall,Best F1,max_depth,n_estimators,n_neighbors
LogisticRegression,10.0,0.9991485439662929,0.8665344283178434,0.6217103282143933,0.7224789693268467,,,
RandomForest,,0.9995567161886371,0.945178146680967,0.798584763625414,0.8652611399692395,,250.0,
KNearest,,0.9994294366784437,0.93115412543817,0.7371875940981631,0.8211044711777257,,,5.0
Support Vector Classifier,10.0,0.9994250477298163,0.960500719421326,0.7075278530563083,0.8142046954937456,,,
DecisionTreeClassifier,,0.9994557703702078,0.9179446282914236,0.7642276422764226,0.8337772586512082,5.0,,
